Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,4,4.00,48,0,0,0,100.000000,0,0.000000,0,0.000000,0,0,0,1,48,0,2
0,3379,8688,2.57,108128,0,785,0,99.268699,0,0.000000,18248,16.999711,446,394,52,3379,107343,18550,19387
0,3695,9485,2.57,118240,0,1040,0,99.112628,0,0.000000,19664,16.778157,582,524,58,3695,117200,20094,20630
0,3706,9507,2.57,118592,0,1116,0,99.050019,0,0.000000,19022,16.192244,645,602,43,3706,117476,19524,19794
0,3713,9558,2.57,118816,0,1510,0,98.712768,0,0.000000,19219,16.383646,816,754,62,3713,117306,19947,20288
0,3693,9478,2.57,118176,0,924,0,99.211954,0,0.000000,18982,16.189063,485,441,44,3693,117252,19346,19921
0,3698,9453,2.56,118336,0,627,0,99.467330,0,0.000000,19101,16.227306,347,321,26,3698,117709,19367,20113
0,3700,9546,2.58,118400,0,1493,0,98.722917,0,0.000000,19124,16.358302,743,684,59,3700,116907,19728,20018
0,3710,9619,2.59,118720,0,1174,0,99.001242,0,0.000000,19081,16.232794,592,552,40,3710,117546,19549,20313
0,3717,9697,2.61,118944,0,1314,0,98.882938,0,0.000000,19070,16.211851,604,554,50,3717,117630,19612,20348
0,3701,9507,2.57,118385,0,686,0,99.417157,0,0.000000,19005,16.147121,382,360,22,3701,117699,19247,20081
