Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,4,4.00,240,0,0,0,100.000000,0,0.000000,10,4.166667,0,0,0,1,240,10,10
0,853,2498,2.93,109184,0,6081,0,94.102014,0,0.000000,16142,15.656188,2468,1954,514,853,103103,18624,18118
0,932,2728,2.93,119296,0,6153,0,94.561749,0,0.000000,17391,15.370814,2574,2148,426,932,113143,19883,19153
0,934,2732,2.93,119552,0,6132,0,94.593546,0,0.000000,16924,14.921531,2434,1958,476,934,113420,19066,18724
0,932,2740,2.94,119296,0,6350,0,94.377844,0,0.000000,16743,14.823898,2516,2038,478,932,112946,19035,18734
0,929,2715,2.92,118912,0,5476,0,95.172608,0,0.000000,16956,14.947636,2229,1835,394,929,113436,18958,18597
0,930,2733,2.94,119040,0,6284,0,94.426904,0,0.000000,16628,14.746887,2532,2133,399,930,112756,18936,18376
0,929,2720,2.93,118912,0,5131,0,95.490460,0,0.000000,17058,14.991958,2145,1786,359,929,113781,18918,18787
0,931,2736,2.94,119168,0,6365,0,94.357420,0,0.000000,16963,15.037721,2526,2071,455,931,112803,19013,18599
0,930,2732,2.94,119040,0,6554,0,94.173497,0,0.000000,16798,14.933414,2620,2196,424,930,112486,19088,18480
0,930,2710,2.91,118938,0,5880,0,94.799130,0,0.000000,16900,14.948080,2313,1885,428,930,113058,18836,18408
