Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,6,6.00,480,0,0,0,100.000000,0,0.000000,31,6.458333,0,0,0,1,480,31,26
0,463,1377,2.97,118528,0,15691,0,84.741873,0,0.000000,16195,15.748223,4436,2753,1683,463,102837,21935,21164
0,492,1453,2.95,125952,0,12831,0,88.657278,0,0.000000,17419,15.398556,3869,2534,1335,492,113121,21979,21430
0,488,1437,2.94,124928,0,11913,0,89.458921,0,0.000000,16838,14.898907,3623,2480,1143,488,113015,20890,20351
0,491,1457,2.97,125696,0,12676,0,88.784286,0,0.000000,16803,14.867280,3764,2537,1227,491,113020,21143,20777
0,484,1427,2.95,123904,0,10514,0,90.727577,0,0.000000,16845,14.855807,3403,2455,948,484,113390,20365,19762
0,488,1437,2.94,124928,0,12081,0,89.294354,0,0.000000,16759,14.851082,3704,2547,1157,488,112847,20817,20103
0,483,1427,2.95,123648,0,10242,0,90.968732,0,0.000000,16965,14.959526,3268,2334,934,483,113406,20423,20132
0,487,1432,2.94,124672,0,12103,0,89.248372,0,0.000000,16952,15.059208,3604,2498,1106,487,112569,20792,20426
0,485,1421,2.93,124160,0,11066,0,90.215219,0,0.000000,16994,15.026438,3406,2428,978,485,113094,20576,20049
0,481,1408,2.93,123061,0,10190,0,90.971995,0,0.000000,16877,14.952468,3275,2347,928,481,112871,20161,19683
